country_name,mcv1-mcv2-sia_VS_nomcv,mcv1_VS_nomcv,mcv1-sia_VS_mcv1,mcv1-mcv2_VS_mcv1,mcv1-mcv2-sia_VS_mcv1
India,349481.123241037,295562.768987379,41271.7931706473,28181.8450816492,53918.3542536583
Indonesia,83082.0246908777,61349.8749576941,16175.5423294557,9902.04586942041,21732.1497331836
China,321262.378822778,257140.191287477,32642.7125630054,57288.8125507236,64122.1875353009
Philippines,42548.7292262629,29887.3751401696,11447.8334736813,3164.02738451887,12661.3540860933
Pakistan,76408.9968869324,49162.9151821797,26681.2975619348,7070.40674165309,27246.0817047526
Angola,15515.0018359584,6780.22654184403,8650.52686409126,432.927558722058,8734.7752941144
Ukraine,7306.25508641499,6089.60889236487,102.386688366455,1132.22815054611,1216.64619405012
Malawi,9943.90898357335,7003.19450762317,2926.08508521505,312.892455303022,2940.71447595019
Nigeria,93009.424993449,39342.8773200661,53666.5460941415,250.929341602206,53666.5476733829
Ethiopia,49569.270309882,23044.6359305387,26356.6433237832,483.887325128898,26524.6343793433
Madagascar,12033.1255875385,6934.77998449451,5086.98803391153,24.8249589341246,5098.34560304396
Uganda,23922.0073743338,15024.4218894071,8897.58548492668,0,8897.58548492668
DRC,40965.4492310892,23428.5501530833,17536.8990780059,0,17536.8990780059
Somalia,7633.81188799806,2930.52354572086,4703.2883422772,0,4703.2883422772
Global,1132681.50815813,823681.944320042,256146.128093443,108244.827418202,308999.563838083
