country_name,country,mcv1_VS_nomcv,mcv1-mcv2_VS_mcv1,mcv1-sia_VS_mcv1,mcv1-mcv2-sia_VS_mcv1-sia,mcv1-mcv2-sia_VS_mcv1-mcv2
India,IND,150606,5883,8427,3345,5889
Nigeria,NGA,78181,294,72567,0,72273
Indonesia,IDN,21582,2144,3479,958,2293
Ethiopia,ETH,54084,643,51513,25,50896
China,CHN,103400,11081,6943,5568,1429
Philippines,PHL,11343,701,2447,276,2023
Uganda,UGA,32235,0,14616,0,14616
DRC,COD,49891,0,28925,0,28925
Pakistan,PAK,66434,6476,24065,1924,19513
Angola,AGO,15144,625,15656,178,15210
Madagascar,MDG,8704,15,3730,8,3723
Ukraine,UKR,3435,387,15,385,13
Malawi,MWI,15074,371,3939,7,3575
Somalia,SOM,6205,0,6875,0,6875
Global,Global,616320,28619,243197,12674,227253
